Timestamp Beacon
41.264959 43
41.267489 38
41.269316 42
41.290033 9
41.296298 16
41.306575 55
41.313331 36
41.315016 60
41.320764 11
41.322491 10
41.32587 14
41.329872 13
41.332142 58
41.334012 40
41.335218 35
41.340093 8
41.344472 56
41.348432 44
41.353278 34
41.359876 15
41.372844 32
41.402414 41
41.403003 57
41.405668 16
41.414328 55
41.422036 60
41.423341 36
41.425283 11
41.427976 14
41.428871 10
41.432681 13
41.434462 58
41.438789 35
41.442496 40
41.446991 8
41.456362 34
41.462449 53
41.463693 15
41.470234 12
41.47265 38
41.479925 32
41.481617 42
41.502608 9
41.509037 41
41.51097 57
41.517064 59
41.517656 6
41.523027 55
41.526187 60
41.531144 11
41.533104 14
41.535647 10
41.537302 58
41.542753 13
41.551418 8
41.552683 56
41.560513 34
41.570561 15
41.574672 27
41.577933 43
41.57964 38
41.582519 32
41.602975 9
41.613261 57
41.615741 16
41.623578 55
41.62609 36
41.626982 59
41.627606 6
41.628202 60
41.635724 11
41.641141 10
41.646763 58
41.647942 13
41.653067 8
41.653912 40
41.655453 35
41.661251 7
41.669852 34
41.671448 3
41.672642 12
41.675812 15
41.679072 33
41.685073 38
41.690821 32
41.708438 9
41.716833 57
41.719466 16
41.721826 41
41.724382 17
41.733284 55
41.740199 4
41.742348 11
41.753874 58
41.75551 8
41.756431 35
41.761474 56
41.762609 40
41.782661 12
41.784786 15
41.786796 29
41.790018 38
41.805944 42
41.82432 16
41.826058 19
41.828449 41
41.832354 60
41.835483 55
41.836101 36
41.841326 59
41.842411 11
41.84519 14
41.853142 52
41.854759 1
41.858747 13
41.860124 35
41.861993 58
41.863232 8
41.867822 56
41.876511 7
41.877547 31
41.881123 3
41.885727 33
41.886721 12
41.891348 15
41.894139 38
41.896683 32
41.915741 42
41.916267 51
41.92468 57
41.925712 9
41.927071 17
41.929092 41
41.934178 16
41.937574 60
41.942876 36
41.945494 55
41.946911 59
41.948944 11
41.951935 14
41.958056 52
41.959548 10
41.960275 13
41.961682 35
41.962757 58
41.965004 8
41.977595 40
41.983331 53
41.987776 3
41.989897 12
41.997081 32
41.997575 15
42.003235 38
42.023402 42
42.026019 9
42.031731 57
42.035135 41
42.037265 17
42.039153 16
42.040047 60
42.046997 36
42.048818 6
42.050208 59
42.051326 11
42.057154 14
42.061008 13
42.062055 4
42.066843 10
42.068763 35
42.072554 58
42.082417 40
42.090276 31
42.091206 53
42.097009 12
42.099187 32
42.101422 15
42.112452 38
42.132642 9
42.144963 41
42.147364 36
42.14892 16
42.149416 60
42.151295 55
42.154013 11
42.155472 6
42.156678 59
42.161587 5
42.163807 14
42.167305 4
42.169463 13
42.170534 35
42.171483 10
42.173561 58
42.176245 1
42.188629 7
42.195435 31
42.196625 29
42.200978 12
42.201882 15
42.205811 32
42.206644 30
42.207519 18
42.226335 42
42.235803 51
42.238357 57
42.239631 9
42.241205 17
42.246215 41
42.258113 59
42.258651 55
42.260852 11
42.263254 6
42.268568 14
42.269871 52
42.271783 13
42.273556 35
42.277103 4
42.28345 58
42.284417 8
42.295466 7
42.304347 31
42.305294 3
42.307728 34
42.314731 30
42.323348 21
42.335827 42
42.339071 51
42.342387 57
42.343416 9
42.35177 41
42.355491 60
42.361952 36
42.364736 59
42.371437 14
42.377399 13
42.378715 35
42.381953 10
42.385893 58
42.386565 4
42.388392 1
42.394367 8
42.397582 56
42.40035 7
42.407605 12
42.40859 31
42.409109 3
42.411132 15
42.413924 34
42.415578 32
42.418171 33
42.420669 27
42.42285 30
42.426647 38
42.443549 57
42.452225 17
42.452785 9
42.457781 60
42.465097 36
42.467108 55
42.471935 5
42.472976 59
42.473871 52
42.475005 6
42.47687 14
42.482596 10
42.484267 13
42.485826 35
42.492791 58
42.495254 8
42.501061 56
42.506454 7
42.511673 3
42.51493 12
42.520554 32
42.522103 34
42.525126 27
42.526351 33
42.529975 38
42.531334 30
42.534429 21
42.54642 57
42.551821 42
42.552593 17
42.554642 41
42.556509 9
42.563702 60
42.570163 36
42.572393 16
42.575348 55
42.576669 59
42.580678 52
42.582299 6
42.588919 4
42.589891 10
42.591074 13
42.595043 35
42.609601 44
42.611126 31
42.612646 43
42.618411 12
42.625174 15
42.628092 32
42.628854 33
42.632543 27
42.633186 18
42.648802 57
42.653358 17
42.660966 9
42.666694 60
42.668028 19
42.675687 36
42.677002 16
42.684592 14
42.685153 59
42.685975 11
42.69234 6
42.697514 13
42.702094 35
42.704328 58
42.708562 8
42.712715 44
42.72324 7
42.727477 12
42.730717 33
42.732725 34
42.73502 32
42.737272 38
42.754755 57
42.756188 42
42.758385 20
42.765966 41
42.769359 9
42.772859 60
42.780693 36
42.782069 16
42.786033 55
42.788511 59
42.789883 11
42.790696 14
42.792033 52
42.793225 4
42.795252 5
42.799651 13
42.801399 10
42.803494 47
42.804792 40
42.808632 58
42.809968 35
42.812051 56
42.813538 8
42.818484 44
42.827601 12
42.830291 7
42.832701 33
42.835388 32
42.839655 27
42.841973 38
42.85796 42
42.86099 17
42.862722 57
42.866534 20
42.875518 41
42.876806 9
42.880947 60
42.888262 55
42.890493 16
42.892436 14
42.893456 11
42.89492 59
42.900441 5
42.907906 40
42.908694 10
42.909692 13
42.914188 56
42.916194 35
42.920528 8
42.927457 44
42.933893 33
42.934499 12
42.935663 7
42.941126 32
42.94585 38
42.96438 51
42.966566 20
42.970788 17
42.977692 9
42.980464 41
42.990012 60
42.990979 36
42.992387 16
42.993421 55
42.99828 11
42.999193 59
43.00328 5
43.01288 6
43.01486 10
43.016041 13
43.016726 40
43.02062 35
43.024259 56
43.025937 58
43.026511 8
43.03054 44
43.03972 12
43.042226 32
43.044111 34
43.047439 27
43.05226 38
43.067556 51
43.069437 42
43.073323 17
43.080897 9
43.088582 41
43.093963 14
43.09458 36
43.096535 55
43.099895 16
43.100384 59
43.10582 11
43.110971 5
43.116021 10
43.118697 13
43.121334 6
43.124779 56
43.126389 35
43.132713 58
43.135393 8
43.139875 12
43.140899 15
43.14183 33
43.144302 32
43.150063 34
43.153085 38
43.153941 18
43.154978 27
43.155507 30
43.169958 42
43.181808 17
43.190358 9
43.195022 41
43.196778 36
43.197704 60
43.203497 59
43.203983 55
43.206152 16
43.209026 11
43.212733 4
43.21764 10
43.226214 56
43.227365 13
43.228415 40
43.230083 35
43.232618 31
43.239427 58
43.245065 33
43.248848 12
43.250589 7
43.252604 32
43.256655 34
43.257491 30
43.259099 18
43.27002 42
43.284893 17
43.293548 19
43.29774 41
43.300521 9
43.304554 14
43.306361 36
43.30847 55
43.310669 59
43.315436 11
43.316346 16
43.322683 4
43.325911 10
43.335679 6
43.336674 13
43.337316 35
43.339394 31
43.34571 8
43.348837 15
43.349377 58
43.352482 12
43.35471 7
43.358701 34
43.361088 32
43.361968 38
43.364083 30
43.380798 57
43.393744 17
43.394678 19
43.401529 9
43.40685 36
43.410597 14
43.411255 60
43.411799 59
43.420382 11
43.429026 10
43.436898 56
43.438182 40
43.442017 35
43.443053 13
43.452043 15
43.452972 12
43.454894 33
43.455691 8
43.46273 34
43.4656 18
43.477073 42
43.480891 57
43.495198 19
43.496248 17
43.509011 52
43.512318 59
43.513168 36
43.517146 60
43.520698 14
43.526427 11
43.538548 10
43.541613 5
43.543849 35
43.544622 6
43.546816 56
43.547582 40
43.548456 13
43.553327 15
43.556367 58
43.560083 7
43.562617 12
43.563596 8
43.566057 34
43.568628 32
43.569112 38
43.574329 18
43.579699 42
43.590292 57
43.601011 51
43.613581 41
43.617644 9
43.618758 59
43.621927 36
43.625447 60
43.63003 11
43.634743 4
43.635393 16
43.645874 10
43.646923 5
43.651815 35
43.652527 6
43.653561 56
43.655934 13
43.657831 31
43.661904 15
43.662563 58
43.663901 12
43.664417 33
43.669114 38
43.670674 32
43.674817 34
43.678327 18
43.683789 42
43.688636 20
43.693986 57
43.694871 21
43.705454 19
43.719076 41
43.722573 59
43.724785 9
43.726028 60
43.729343 36
43.731181 55
43.733602 11
43.744244 16
43.748531 10
43.752274 35
43.753321 6
43.755333 56
43.756331 1
43.757064 13
43.76211 40
43.763722 31
43.765219 58
43.767384 8
43.769748 15
43.770583 33
43.771709 38
43.773424 44
43.778639 43
43.781012 34
43.781898 18
43.799847 57
43.81104 19
43.825549 9
43.826584 41
43.828158 59
43.833487 14
43.834814 55
43.836778 11
43.83914 36
43.853566 6
43.854696 10
43.856425 35
43.859232 13
43.859728 56
43.862946 5
43.864454 12
43.865457 1
43.868336 40
43.871428 15
43.873275 31
43.874129 8
43.875312 38
43.878367 32
43.879922 43
43.881268 44
43.89087 34
43.899783 42
43.900429 57
43.927625 9
43.928472 60
43.933701 14
43.934934 59
43.935893 41
43.937116 11
43.94278 55
43.959396 6
43.962651 13
43.963289 16
43.964307 56
43.971292 12
43.972027 58
43.973795 31
43.975834 33
43.977564 15
43.979586 38
43.984227 32
43.986366 44
43.989041 18
44.000819 34
44.003935 42
44.005284 57
44.029297 60
44.032875 9
44.039614 11
44.041051 41
44.042228 59
44.043009 14
44.050097 36
44.050594 55
44.062082 6
44.069306 13
44.069852 16
44.072456 56
44.075296 40
44.077321 5
44.07871 31
44.083404 43
44.084349 33
44.085103 15
44.092398 18
44.103998 42
44.134241 60
44.14197 9
44.14447 41
44.147038 11
44.150944 14
44.151689 59
44.153454 36
44.16837 6
44.174262 10
44.176353 16
44.176936 13
44.180116 12
44.18193 5
44.184269 40
44.184998 58
44.187494 32
44.188501 33
44.191643 38
44.194535 18
44.196167 8
44.20873 42
44.212692 34
44.215205 57
44.242184 9
44.249268 11
44.251094 41
44.253783 14
44.254859 36
44.255595 59
44.275357 56
44.277822 13
44.278902 10
44.284727 40
44.287075 58
44.288479 12
44.290356 15
44.297047 32
44.299914 38
44.305446 8
44.315573 57
44.318064 34
44.344169 9
44.349166 60
44.353299 11
44.354361 41
44.355013 36
44.356896 14
44.386345 40
44.386856 13
44.389388 35
44.390761 33
44.394979 58
44.397727 12
44.408003 38
44.41701 57
44.422642 34
44.436584 20
44.440177 17
44.447588 9
44.454934 60
44.455955 11
44.459733 41
44.461635 36
44.464242 55
44.465179 59
44.486412 10
44.487169 56
44.488544 40
44.491679 13
44.494089 35
44.497574 58
44.498096 12
44.503658 3
44.510772 18
44.515847 38
44.51735 8
44.523237 57
44.528906 42
44.532744 34
44.543444 17
44.554913 9
44.556293 11
44.561832 60
44.564871 36
44.56956 41
44.596745 35
44.601695 58
44.604147 3
44.60771 12
44.610852 31
44.625866 8
44.629701 42
44.644093 20
44.650892 17
44.657172 9
44.658808 19
44.664535 11
44.666502 60
44.671894 59
44.673919 55
44.674698 36
44.676916 41
44.69175 6
44.697356 35
44.701912 40
44.70249 58
44.705504 33
44.706452 13
44.709589 15
44.7111 12
44.715514 32
44.71765 38
44.72301 18
44.730995 8
44.73618 57
44.738948 42
44.744983 34
44.774333 11
44.774824 59
44.775963 60
44.779969 14
44.78122 41
44.783305 36
44.80862 13
44.809682 15
44.810639 58
44.811861 40
44.813655 53
44.818731 12
44.822198 32
44.825922 38
44.838259 8
44.840415 42
44.844452 57
44.85359 34
44.877724 59
44.880175 60
44.882117 11
44.883022 14
44.884364 41
44.891942 36
44.904469 35
44.913107 13
44.913868 33
44.916072 58
44.918259 15
44.921749 40
44.922944 12
44.927326 32
44.932088 38
44.93589 18
44.940661 42
44.951717 57
44.958901 34
44.981631 59
44.986951 60
44.992208 41
44.993001 14
45.01538 10
45.015944 33
45.017843 58
45.024883 15
45.028226 12
45.033064 32
45.042085 18
45.043938 8
45.044569 42
45.062136 34
45.072566 17
45.08508 59
45.088661 60
45.093735 41
45.100356 14
45.101586 36
45.114641 6
45.118722 33
45.120673 4
45.123093 58
45.123697 7
45.126625 15
45.131058 40
45.13607 12
45.138436 32
45.145335 38
45.146809 8
45.152187 18
45.152748 42
45.162565 34
45.165514 57
45.172913 19
45.176464 9
45.185996 59
45.191623 60
45.195995 41
45.203723 36
45.208383 14
45.214635 55
45.217754 6
45.223545 33
45.224712 58
45.225292 56
45.227377 52
45.228701 15
45.229372 4
45.230932 13
45.238905 31
45.242175 12
45.253341 8
45.284063 9
45.287522 59
45.288713 17
45.297522 41
45.301694 60
45.304517 36
45.315707 14
45.323273 55
45.324377 6
45.325974 10
45.326757 58
45.329801 4
45.33148 15
45.333105 56
45.334077 13
45.335082 7
45.33933 40
45.340249 31
45.349241 32
45.351516 12
45.354746 8
45.357817 42
45.368942 18
45.370776 34
45.379892 57
45.391185 59
45.391736 17
45.394257 9
45.401735 41
45.407418 36
45.410636 60
45.424313 14
45.428491 33
45.433514 10
45.435601 4
45.438991 13
45.444299 7
45.447326 40
45.458379 8
45.463495 42
45.473673 18
45.475263 34
45.486271 57
45.487839 19
45.499672 17
45.500921 59
45.506588 41
45.511172 36
45.512651 60
45.530238 58
45.530875 55
45.532985 6
45.539815 15
45.542213 10
45.544636 7
45.55636 40
45.556976 31
45.559968 8
45.565862 12
45.579228 18
45.581001 34
45.590679 19
45.592621 57
45.602786 17
45.60379 59
45.616162 60
45.630423 58
45.631883 14
45.632949 33
45.63582 55
45.638265 6
45.641251 15
45.642288 4
45.643465 10
45.653062 13
45.664545 31
45.669587 12
45.670071 8
45.67067 42
45.686979 18
45.690645 34
45.696651 57
45.703974 59
45.710753 17
45.718916 9
45.721544 41
45.733415 58
45.736978 33
45.73817 14
45.739667 55
45.74199 56
45.745756 52
45.75358 7
45.755443 13
45.770979 40
45.772427 12
45.776103 42
45.778433 8
45.792477 34
45.794556 19
45.795128 18
45.798911 57
45.822064 41
45.823625 36
45.825448 9
45.832429 60
45.837779 58
45.84095 55
45.844028 33
45.845711 15
45.847661 14
45.848717 52
45.849311 4
45.850487 10
45.8599 13
45.872765 12
45.879523 42
45.8806 31
45.885332 8
45.89379 34
45.908038 57
45.916822 59
45.928936 36
45.94974 15
45.950839 4
45.952667 14
45.954364 52
45.957341 56
45.977406 12
45.980348 42
45.984377 40
45.994585 34
45.995556 8
46.003613 18
46.008498 57
46.029282 17
46.029848 41
46.031622 36
46.037657 9
46.045258 58
46.048242 33
46.05139 55
46.054594 15
46.0585 4
46.05935 14
46.060866 10
46.062802 13
46.063597 6
46.066772 56
46.082363 42
46.086898 12
46.092343 40
46.10371 34
46.104255 8
46.131441 59
46.133328 41
46.134044 17
46.137658 9
46.148738 58
46.157404 55
46.161676 15
46.163379 14
46.16453 10
46.171714 13
46.173241 6
46.174151 35
46.189048 42
46.189677 12
46.203859 18
46.205695 34
46.206607 8
46.236965 59
46.237693 41
46.241267 36
46.244403 9
46.246226 60
